time,T,Tb,To,GDD_rating,GD,GDD,cGDD,KD,KDD,cKDD,t,Tavg,Tmin,Tmax,solrad,DLI,solrad_sum
384.0 hr,25.8 °C,10.0 °C,30.0 °C,1500.0 K,15.8 K,15.8 K d^-1,110.20000000000002 K,0.0 K,0.0 K d^-1,0.0 K,2002-05-31,25.8 °C,17.9 °C,32.3 °C,23.6736 MJ d^-1 m^-2,49.004352000000004 mol d^-1 m^-2,346.10975999999994 MJ m^-2
408.0 hr,25.9 °C,10.0 °C,30.0 °C,1500.0 K,15.899999999999999 K,15.899999999999999 K d^-1,126.00000000000001 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-01,25.9 °C,17.9 °C,31.9 °C,25.876800000000003 MJ d^-1 m^-2,53.56497600000001 mol d^-1 m^-2,369.78335999999996 MJ m^-2
432.0 hr,23.1 °C,10.0 °C,30.0 °C,1500.0 K,13.100000000000001 K,13.100000000000001 K d^-1,141.9 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-02,23.1 °C,15.4 °C,29.1 °C,25.4448 MJ d^-1 m^-2,52.670736 mol d^-1 m^-2,395.66015999999996 MJ m^-2
456.0 hr,20.2 °C,10.0 °C,30.0 °C,1500.0 K,10.2 K,10.2 K d^-1,155.0 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-03,20.2 °C,11.4 °C,26.1 °C,26.25696 MJ d^-1 m^-2,54.3519072 mol d^-1 m^-2,421.10495999999995 MJ m^-2
480.0 hr,22.8 °C,10.0 °C,30.0 °C,1500.0 K,12.8 K,12.8 K d^-1,165.2 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-04,22.8 °C,16.8 °C,28.7 °C,23.163840000000004 MJ d^-1 m^-2,47.94914880000001 mol d^-1 m^-2,447.36191999999994 MJ m^-2
504.0 hr,25.8 °C,10.0 °C,30.0 °C,1500.0 K,15.8 K,15.8 K d^-1,178.0 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-05,25.8 °C,19.0 °C,32.8 °C,18.394560000000002 MJ d^-1 m^-2,38.076739200000006 mol d^-1 m^-2,470.52575999999993 MJ m^-2
528.0 hr,23.5 °C,10.0 °C,30.0 °C,1500.0 K,13.5 K,13.5 K d^-1,193.8 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-06,23.5 °C,17.8 °C,32.4 °C,16.62336 MJ d^-1 m^-2,34.410355200000005 mol d^-1 m^-2,488.92031999999995 MJ m^-2
552.0 hr,18.4 °C,10.0 °C,30.0 °C,1500.0 K,8.399999999999999 K,8.399999999999999 K d^-1,207.3 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-07,18.4 °C,12.6 °C,22.4 °C,17.80704 MJ d^-1 m^-2,36.8605728 mol d^-1 m^-2,505.54367999999994 MJ m^-2
576.0 hr,17.5 °C,10.0 °C,30.0 °C,1500.0 K,7.5 K,7.5 K d^-1,215.70000000000002 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-08,17.5 °C,11.3 °C,24.3 °C,20.91744 MJ d^-1 m^-2,43.2991008 mol d^-1 m^-2,523.3507199999999 MJ m^-2
600.0 hr,20.9 °C,10.0 °C,30.0 °C,1500.0 K,10.899999999999999 K,10.899999999999999 K d^-1,223.20000000000002 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-09,20.9 °C,11.2 °C,30.1 °C,25.16832 MJ d^-1 m^-2,52.0984224 mol d^-1 m^-2,544.2681599999999 MJ m^-2
624.0 hr,24.9 °C,10.0 °C,30.0 °C,1500.0 K,14.899999999999999 K,14.899999999999999 K d^-1,234.10000000000002 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-10,24.9 °C,16.1 °C,32.7 °C,24.382080000000002 MJ d^-1 m^-2,50.4709056 mol d^-1 m^-2,569.4364799999998 MJ m^-2
648.0 hr,26.9 °C,10.0 °C,30.0 °C,1500.0 K,16.9 K,16.9 K d^-1,249.00000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-11,26.9 °C,18.8 °C,34.3 °C,22.429440000000003 MJ d^-1 m^-2,46.4289408 mol d^-1 m^-2,593.8185599999998 MJ m^-2
672.0 hr,25.9 °C,10.0 °C,30.0 °C,1500.0 K,15.899999999999999 K,15.899999999999999 K d^-1,265.90000000000003 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-12,25.9 °C,18.4 °C,32.8 °C,20.39904 MJ d^-1 m^-2,42.22601279999999 mol d^-1 m^-2,616.2479999999998 MJ m^-2
696.0 hr,20.7 °C,10.0 °C,30.0 °C,1500.0 K,10.7 K,10.7 K d^-1,281.8 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-13,20.7 °C,17.7 °C,26.0 °C,4.6656 MJ d^-1 m^-2,9.657791999999999 mol d^-1 m^-2,636.6470399999998 MJ m^-2
720.0 hr,18.4 °C,10.0 °C,30.0 °C,1500.0 K,8.399999999999999 K,8.399999999999999 K d^-1,292.5 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-14,18.4 °C,16.7 °C,20.6 °C,4.32 MJ d^-1 m^-2,8.9424 mol d^-1 m^-2,641.3126399999999 MJ m^-2
744.0 hr,19.9 °C,10.0 °C,30.0 °C,1500.0 K,9.899999999999999 K,9.899999999999999 K d^-1,300.9 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-15,19.9 °C,14.5 °C,25.4 °C,21.18528 MJ d^-1 m^-2,43.8535296 mol d^-1 m^-2,645.6326399999999 MJ m^-2
768.0 hr,19.8 °C,10.0 °C,30.0 °C,1500.0 K,9.8 K,9.8 K d^-1,310.79999999999995 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-16,19.8 °C,12.0 °C,26.8 °C,20.52 MJ d^-1 m^-2,42.4764 mol d^-1 m^-2,666.81792 MJ m^-2
792.0 hr,20.4 °C,10.0 °C,30.0 °C,1500.0 K,10.399999999999999 K,10.399999999999999 K d^-1,320.59999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-17,20.4 °C,12.1 °C,27.4 °C,25.13376 MJ d^-1 m^-2,52.02688319999999 mol d^-1 m^-2,687.3379199999999 MJ m^-2
816.0 hr,20.7 °C,10.0 °C,30.0 °C,1500.0 K,10.7 K,10.7 K d^-1,330.99999999999994 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-18,20.7 °C,12.5 °C,28.8 °C,22.213440000000002 MJ d^-1 m^-2,45.98182080000001 mol d^-1 m^-2,712.47168 MJ m^-2
840.0 hr,20.8 °C,10.0 °C,30.0 °C,1500.0 K,10.8 K,10.8 K d^-1,341.69999999999993 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-19,20.8 °C,15.4 °C,27.0 °C,18.990720000000003 MJ d^-1 m^-2,39.3107904 mol d^-1 m^-2,734.68512 MJ m^-2
864.0 hr,21.7 °C,10.0 °C,30.0 °C,1500.0 K,11.7 K,11.7 K d^-1,352.49999999999994 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-20,21.7 °C,15.2 °C,28.4 °C,21.453120000000002 MJ d^-1 m^-2,44.4079584 mol d^-1 m^-2,753.67584 MJ m^-2
888.0 hr,21.7 °C,10.0 °C,30.0 °C,1500.0 K,11.7 K,11.7 K d^-1,364.19999999999993 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-21,21.7 °C,14.1 °C,29.3 °C,27.025920000000003 MJ d^-1 m^-2,55.94365440000001 mol d^-1 m^-2,775.12896 MJ m^-2
912.0 hr,22.4 °C,10.0 °C,30.0 °C,1500.0 K,12.399999999999999 K,12.399999999999999 K d^-1,375.8999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-22,22.4 °C,13.9 °C,30.0 °C,25.729920000000003 MJ d^-1 m^-2,53.260934400000004 mol d^-1 m^-2,802.15488 MJ m^-2
936.0 hr,23.8 °C,10.0 °C,30.0 °C,1500.0 K,13.8 K,13.8 K d^-1,388.2999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-23,23.8 °C,14.7 °C,31.7 °C,24.788159999999998 MJ d^-1 m^-2,51.31149119999999 mol d^-1 m^-2,827.8848 MJ m^-2
960.0 hr,26.1 °C,10.0 °C,30.0 °C,1500.0 K,16.1 K,16.1 K d^-1,402.0999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-24,26.1 °C,17.9 °C,34.2 °C,24.399359999999998 MJ d^-1 m^-2,50.50667519999999 mol d^-1 m^-2,852.67296 MJ m^-2
984.0 hr,27.8 °C,10.0 °C,30.0 °C,1500.0 K,17.8 K,17.8 K d^-1,418.19999999999993 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-25,27.8 °C,19.6 °C,35.3 °C,22.723200000000002 MJ d^-1 m^-2,47.037024 mol d^-1 m^-2,877.07232 MJ m^-2
1008.0 hr,27.8 °C,10.0 °C,30.0 °C,1500.0 K,17.8 K,17.8 K d^-1,435.99999999999994 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-26,27.8 °C,22.3 °C,34.9 °C,19.21536 MJ d^-1 m^-2,39.7757952 mol d^-1 m^-2,899.79552 MJ m^-2
1032.0 hr,26.8 °C,10.0 °C,30.0 °C,1500.0 K,16.8 K,16.8 K d^-1,453.79999999999995 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-27,26.8 °C,22.0 °C,33.4 °C,19.31904 MJ d^-1 m^-2,39.9904128 mol d^-1 m^-2,919.01088 MJ m^-2
1056.0 hr,23.5 °C,10.0 °C,30.0 °C,1500.0 K,13.5 K,13.5 K d^-1,470.59999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-28,23.5 °C,19.9 °C,29.0 °C,15.87168 MJ d^-1 m^-2,32.8543776 mol d^-1 m^-2,938.32992 MJ m^-2
1080.0 hr,24.1 °C,10.0 °C,30.0 °C,1500.0 K,14.100000000000001 K,14.100000000000001 K d^-1,484.09999999999997 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-29,24.1 °C,17.6 °C,30.9 °C,22.343040000000002 MJ d^-1 m^-2,46.250092800000004 mol d^-1 m^-2,954.2016 MJ m^-2
1104.0 hr,24.0 °C,10.0 °C,30.0 °C,1500.0 K,14.0 K,14.0 K d^-1,498.2 K,0.0 K,0.0 K d^-1,0.0 K,2002-06-30,24.0 °C,15.9 °C,31.5 °C,22.559040000000003 MJ d^-1 m^-2,46.6972128 mol d^-1 m^-2,976.54464 MJ m^-2
1128.0 hr,25.8 °C,10.0 °C,30.0 °C,1500.0 K,15.8 K,15.8 K d^-1,512.1999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-01,25.8 °C,18.0 °C,33.2 °C,21.01248 MJ d^-1 m^-2,43.4958336 mol d^-1 m^-2,999.1036799999999 MJ m^-2
1152.0 hr,27.9 °C,10.0 °C,30.0 °C,1500.0 K,17.9 K,17.9 K d^-1,527.9999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-02,27.9 °C,19.7 °C,35.3 °C,22.23072 MJ d^-1 m^-2,46.0175904 mol d^-1 m^-2,1020.1161599999999 MJ m^-2
1176.0 hr,29.2 °C,10.0 °C,30.0 °C,1500.0 K,19.2 K,19.2 K d^-1,545.8999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-03,29.2 °C,22.4 °C,36.0 °C,23.91552 MJ d^-1 m^-2,49.505126399999995 mol d^-1 m^-2,1042.3468799999998 MJ m^-2
1200.0 hr,29.9 °C,10.0 °C,30.0 °C,1500.0 K,19.9 K,19.9 K d^-1,565.0999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-04,29.9 °C,22.3 °C,36.4 °C,23.83776 MJ d^-1 m^-2,49.34416319999999 mol d^-1 m^-2,1066.2623999999998 MJ m^-2
1224.0 hr,28.2 °C,10.0 °C,30.0 °C,1500.0 K,18.2 K,18.2 K d^-1,584.9999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-05,28.2 °C,22.1 °C,32.0 °C,26.136000000000003 MJ d^-1 m^-2,54.10152000000001 mol d^-1 m^-2,1090.1001599999997 MJ m^-2
1248.0 hr,23.1 °C,10.0 °C,30.0 °C,1500.0 K,13.100000000000001 K,13.100000000000001 K d^-1,603.1999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-06,23.1 °C,15.3 °C,29.6 °C,25.91136 MJ d^-1 m^-2,53.6365152 mol d^-1 m^-2,1116.2361599999997 MJ m^-2
1272.0 hr,20.8 °C,10.0 °C,30.0 °C,1500.0 K,10.8 K,10.8 K d^-1,616.3 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-07,20.8 °C,13.2 °C,27.5 °C,16.52832 MJ d^-1 m^-2,34.2136224 mol d^-1 m^-2,1142.1475199999998 MJ m^-2
1296.0 hr,23.5 °C,10.0 °C,30.0 °C,1500.0 K,13.5 K,13.5 K d^-1,627.0999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-08,23.5 °C,13.3 °C,32.7 °C,20.75328 MJ d^-1 m^-2,42.9592896 mol d^-1 m^-2,1158.6758399999997 MJ m^-2
1320.0 hr,28.1 °C,10.0 °C,30.0 °C,1500.0 K,18.1 K,18.1 K d^-1,640.5999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-09,28.1 °C,19.8 °C,35.0 °C,21.686400000000003 MJ d^-1 m^-2,44.890848000000005 mol d^-1 m^-2,1179.4291199999996 MJ m^-2
1344.0 hr,24.9 °C,10.0 °C,30.0 °C,1500.0 K,14.899999999999999 K,14.899999999999999 K d^-1,658.6999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-10,24.9 °C,21.4 °C,29.0 °C,12.683520000000001 MJ d^-1 m^-2,26.2548864 mol d^-1 m^-2,1201.1155199999996 MJ m^-2
1368.0 hr,20.9 °C,10.0 °C,30.0 °C,1500.0 K,10.899999999999999 K,10.899999999999999 K d^-1,673.5999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-11,20.9 °C,13.5 °C,26.1 °C,25.22016 MJ d^-1 m^-2,52.205731199999995 mol d^-1 m^-2,1213.7990399999996 MJ m^-2
1392.0 hr,20.5 °C,10.0 °C,30.0 °C,1500.0 K,10.5 K,10.5 K d^-1,684.4999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-12,20.5 °C,10.4 °C,29.7 °C,26.922240000000002 MJ d^-1 m^-2,55.7290368 mol d^-1 m^-2,1239.0191999999997 MJ m^-2
1416.0 hr,22.0 °C,10.0 °C,30.0 °C,1500.0 K,12.0 K,12.0 K d^-1,694.9999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-13,22.0 °C,15.6 °C,27.8 °C,12.08736 MJ d^-1 m^-2,25.0208352 mol d^-1 m^-2,1265.9414399999998 MJ m^-2
1440.0 hr,20.8 °C,10.0 °C,30.0 °C,1500.0 K,10.8 K,10.8 K d^-1,706.9999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-14,20.8 °C,18.1 °C,24.4 °C,7.45632 MJ d^-1 m^-2,15.4345824 mol d^-1 m^-2,1278.0287999999998 MJ m^-2
1464.0 hr,24.2 °C,10.0 °C,30.0 °C,1500.0 K,14.2 K,14.2 K d^-1,717.7999999999998 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-15,24.2 °C,16.6 °C,31.5 °C,24.114240000000002 MJ d^-1 m^-2,49.9164768 mol d^-1 m^-2,1285.4851199999998 MJ m^-2
1488.0 hr,26.7 °C,10.0 °C,30.0 °C,1500.0 K,16.7 K,16.7 K d^-1,731.9999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-16,26.7 °C,19.7 °C,32.7 °C,25.470720000000004 MJ d^-1 m^-2,52.724390400000004 mol d^-1 m^-2,1309.59936 MJ m^-2
1512.0 hr,25.8 °C,10.0 °C,30.0 °C,1500.0 K,15.8 K,15.8 K d^-1,748.6999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-17,25.8 °C,16.8 °C,34.0 °C,25.15968 MJ d^-1 m^-2,52.0805376 mol d^-1 m^-2,1335.07008 MJ m^-2
1536.0 hr,27.1 °C,10.0 °C,30.0 °C,1500.0 K,17.1 K,17.1 K d^-1,764.4999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-18,27.1 °C,21.1 °C,32.7 °C,14.860800000000001 MJ d^-1 m^-2,30.761856 mol d^-1 m^-2,1360.22976 MJ m^-2
1560.0 hr,27.0 °C,10.0 °C,30.0 °C,1500.0 K,17.0 K,17.0 K d^-1,781.5999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-19,27.0 °C,21.8 °C,32.1 °C,18.774720000000002 MJ d^-1 m^-2,38.8636704 mol d^-1 m^-2,1375.0905599999999 MJ m^-2
1584.0 hr,26.0 °C,10.0 °C,30.0 °C,1500.0 K,16.0 K,16.0 K d^-1,798.5999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-20,26.0 °C,21.1 °C,32.2 °C,19.517760000000003 MJ d^-1 m^-2,40.401763200000005 mol d^-1 m^-2,1393.86528 MJ m^-2
1608.0 hr,25.5 °C,10.0 °C,30.0 °C,1500.0 K,15.5 K,15.5 K d^-1,814.5999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-21,25.5 °C,19.9 °C,31.3 °C,14.23008 MJ d^-1 m^-2,29.4562656 mol d^-1 m^-2,1413.38304 MJ m^-2
1632.0 hr,27.7 °C,10.0 °C,30.0 °C,1500.0 K,17.7 K,17.7 K d^-1,830.0999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-22,27.7 °C,19.3 °C,34.6 °C,20.088 MJ d^-1 m^-2,41.582159999999995 mol d^-1 m^-2,1427.61312 MJ m^-2
1656.0 hr,28.4 °C,10.0 °C,30.0 °C,1500.0 K,18.4 K,18.4 K d^-1,847.8 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-23,28.4 °C,22.2 °C,35.1 °C,23.094720000000002 MJ d^-1 m^-2,47.8060704 mol d^-1 m^-2,1447.70112 MJ m^-2
1680.0 hr,23.4 °C,10.0 °C,30.0 °C,1500.0 K,13.399999999999999 K,13.399999999999999 K d^-1,866.1999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-24,23.4 °C,20.2 °C,28.6 °C,10.73088 MJ d^-1 m^-2,22.2129216 mol d^-1 m^-2,1470.79584 MJ m^-2
1704.0 hr,22.9 °C,10.0 °C,30.0 °C,1500.0 K,12.899999999999999 K,12.899999999999999 K d^-1,879.5999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-25,22.9 °C,20.8 °C,27.0 °C,12.66624 MJ d^-1 m^-2,26.2191168 mol d^-1 m^-2,1481.52672 MJ m^-2
1728.0 hr,20.0 °C,10.0 °C,30.0 °C,1500.0 K,10.0 K,10.0 K d^-1,892.4999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-26,20.0 °C,16.9 °C,21.6 °C,6.696000000000001 MJ d^-1 m^-2,13.86072 mol d^-1 m^-2,1494.19296 MJ m^-2
1752.0 hr,23.5 °C,10.0 °C,30.0 °C,1500.0 K,13.5 K,13.5 K d^-1,902.4999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-27,23.5 °C,19.9 °C,28.9 °C,10.24704 MJ d^-1 m^-2,21.2113728 mol d^-1 m^-2,1500.88896 MJ m^-2
1776.0 hr,28.1 °C,10.0 °C,30.0 °C,1500.0 K,18.1 K,18.1 K d^-1,915.9999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-28,28.1 °C,21.9 °C,35.0 °C,21.038400000000003 MJ d^-1 m^-2,43.54948800000001 mol d^-1 m^-2,1511.136 MJ m^-2
1800.0 hr,29.0 °C,10.0 °C,30.0 °C,1500.0 K,19.0 K,19.0 K d^-1,934.0999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-29,29.0 °C,22.1 °C,35.0 °C,22.256640000000004 MJ d^-1 m^-2,46.07124480000001 mol d^-1 m^-2,1532.1743999999999 MJ m^-2
1824.0 hr,27.9 °C,10.0 °C,30.0 °C,1500.0 K,17.9 K,17.9 K d^-1,953.0999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-30,27.9 °C,21.9 °C,33.1 °C,22.170240000000003 MJ d^-1 m^-2,45.89239680000001 mol d^-1 m^-2,1554.43104 MJ m^-2
1848.0 hr,28.0 °C,10.0 °C,30.0 °C,1500.0 K,18.0 K,18.0 K d^-1,970.9999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-07-31,28.0 °C,22.2 °C,34.2 °C,24.48576 MJ d^-1 m^-2,50.6855232 mol d^-1 m^-2,1576.6012799999999 MJ m^-2
1872.0 hr,27.9 °C,10.0 °C,30.0 °C,1500.0 K,17.9 K,17.9 K d^-1,988.9999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-01,27.9 °C,19.8 °C,35.6 °C,24.563520000000004 MJ d^-1 m^-2,50.84648640000001 mol d^-1 m^-2,1601.08704 MJ m^-2
1896.0 hr,28.8 °C,10.0 °C,30.0 °C,1500.0 K,18.8 K,18.8 K d^-1,1006.8999999999999 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-02,28.8 °C,19.9 °C,37.3 °C,22.835520000000002 MJ d^-1 m^-2,47.269526400000004 mol d^-1 m^-2,1625.6505599999998 MJ m^-2
1920.0 hr,25.9 °C,10.0 °C,30.0 °C,1500.0 K,15.899999999999999 K,15.899999999999999 K d^-1,1025.6999999999998 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-03,25.9 °C,21.1 °C,35.9 °C,16.20864 MJ d^-1 m^-2,33.551884799999996 mol d^-1 m^-2,1648.48608 MJ m^-2
1944.0 hr,27.1 °C,10.0 °C,30.0 °C,1500.0 K,17.1 K,17.1 K d^-1,1041.6 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-04,27.1 °C,19.5 °C,34.6 °C,22.01472 MJ d^-1 m^-2,45.5704704 mol d^-1 m^-2,1664.69472 MJ m^-2
1968.0 hr,27.1 °C,10.0 °C,30.0 °C,1500.0 K,17.1 K,17.1 K d^-1,1058.6999999999998 K,0.0 K,0.0 K d^-1,0.0 K,2002-08-05,27.1 °C,21.1 °C,35.0 °C,18.22176 MJ d^-1 m^-2,37.7190432 mol d^-1 m^-2,1686.7094399999999 MJ m^-2
