year,jday,date (:Date),SampleNo,Stage,VSLfNo,Ht,Diameter (mm),TotLfNo,LA (cm^2),StemDW (g),LfDW (g),EarDW (g),Green,LfNo,DAS (d),shootDW (g),SLA (cm^2/g)
2002,233,2002-08-21,7,R5,,286,23.05,,4013.81,71.77,27.584,162.851,10,,98,262.205,145.5122535
2002,233,2002-08-21,8,R5,,269,24.47,,4010.8,75.114,29.608,163.542,9,,98,268.264,135.4633883
2002,233,2002-08-21,9,R5,,288,24.7,,5146.58,114.512,42.799,208.403,11,,98,365.714,120.2500058
2002,233,2002-08-21,10,R5,,282,24.33,,3942.73,84.886,29.647,147.852,10,,98,262.385,132.9891726
2002,242,2002-08-30,1,R6,,283,24.5,,3255.66,98.976,24.477,192.687,8,,107,316.14,133.0089472
2002,242,2002-08-30,2,R6,,281,23.4,,3310.37,76.656,22.06,186.198,8,,107,284.914,150.0621034
2002,242,2002-08-30,3,R6,,287,27.5,,3539.94,109.545,27.458,235.41,8,,107,372.413,128.9219899
2002,242,2002-08-30,4,R6,,274,24.58,,4366.28,78.652,29.2,192.195,9,,107,300.047,149.530137
2002,242,2002-08-30,5,R6,,282,22.98,,3447.91,82.622,21.993,179.99,7,,107,284.605,156.7730642
2002,242,2002-08-30,6,R6,,276,26.42,,3712.91,106.519,27.62,212.945,8,,107,347.084,134.4283128
2002,242,2002-08-30,7,R6,,273,23.64,,4388.45,83.936,29.054,178.727,9,,107,291.717,151.0446066
2002,242,2002-08-30,8,R6,,280,24.35,,3288.45,91.652,23.819,191.15,7,,107,306.621,138.0599521
2002,242,2002-08-30,9,R6,,291,22.78,,3734.86,80.343,24.605,180.911,9,,107,285.859,151.7927251
2002,242,2002-08-30,10,R6,,281,23.94,,3571.08,94.71,26.082,188.59,8,,107,309.382,136.9174143
2002,261,2002-09-18,1,,,,,,2673.32,87.91,30.91,204.62,6,,126,323.44,86.48722096
2002,261,2002-09-18,2,,,,,,1571.77,63.71,19.76,151.17,4,,126,234.64,79.54301619
2002,261,2002-09-18,3,,,,,,1750.07,96.93,29.49,195.52,4,,126,321.94,59.34452357
2002,261,2002-09-18,4,,,,,,2012.07,87.32,25.74,181.92,5,,126,294.98,78.16899767
2002,261,2002-09-18,5,,,,,,2206.57,105.63,33.74,225.21,5,,126,364.58,65.3992294
2002,261,2002-09-18,6,,,,,,2122.62,97.48,30.61,205.79,5,,126,333.88,69.34400523
2002,261,2002-09-18,7,,,,,,2052.93,85.09,32.27,182.14,5,,126,299.5,63.6172916
2002,261,2002-09-18,8,,,,,,1356.11,102.83,31.16,223.85,3,,126,357.84,43.52086008
2002,261,2002-09-18,9,,,,,,2784.1,113.81,33.37,220.65,6,,126,367.83,83.43122565
2002,261,2002-09-18,10,,,,,,3060.41,89.639,28.4,216.655,8,,126,334.694,107.7609155
